Model,BatchSize,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),client-1(f1),client-1(rounds),client-2(f1),client-2(rounds),client-3(f1),client-3(rounds),client-4(f1),client-4(rounds)
mlp,50,1,auto,fedavg,False,0,0 1 2 3,1,4,0.38604,0.38341,003.67,0.63207,1,0.01288,1,0.01364,1,0.88559,1
mlp,50,1,auto,fedavg,False,0,0 1 2 3,2,7,0.44277,0.43113,003.57,0.83555,2,0.02042,2,0.00456,1,0.91054,2
mlp,50,1,auto,fedavg,False,0,0 1 2 3,3,10,0.75672,0.13717,002.64,0.61795,2,0.62183,3,0.87985,2,0.90723,3
mlp,50,1,auto,fedavg,False,0,0 1 2 3,4,13,0.75672,0.13717,002.47,0.61795,2,0.62183,4,0.87985,3,0.90723,4
mlp,50,1,auto,fedavg,False,0,0 1 2 3,5,16,0.75672,0.13717,003.46,0.61795,3,0.62183,4,0.87985,4,0.90723,5
mlp,50,1,auto,fedavg,False,0,0 1 2 3,6,19,0.75672,0.13717,003.56,0.61795,4,0.62183,5,0.87985,4,0.90723,6
mlp,50,1,auto,fedavg,False,0,0 1 2 3,7,22,0.75672,0.13717,004.01,0.61795,5,0.62183,6,0.87985,5,0.90723,6
mlp,50,1,auto,fedavg,False,0,0 1 2 3,8,25,0.75672,0.13717,003.48,0.61795,6,0.62183,7,0.87985,5,0.90723,7
mlp,50,1,auto,fedavg,False,0,0 1 2 3,9,28,0.75672,0.13717,003.54,0.61795,7,0.62183,8,0.87985,6,0.90723,7
mlp,50,1,auto,fedavg,False,0,0 1 2 3,10,31,0.75672,0.13717,003.41,0.61795,8,0.62183,8,0.87985,7,0.90723,8
mlp,50,1,auto,fedavg,False,0,0 1 2 3,11,34,0.75672,0.13717,002.93,0.61795,8,0.62183,9,0.87985,8,0.90723,9
mlp,50,1,auto,fedavg,False,0,0 1 2 3,12,37,0.75672,0.13717,002.70,0.61795,8,0.62183,10,0.87985,9,0.90723,10
mlp,50,1,auto,fedavg,False,0,0 1 2 3,13,40,0.75672,0.13717,002.79,0.61795,8,0.62183,11,0.87985,10,0.90723,11
mlp,50,1,auto,fedavg,False,0,0 1 2 3,14,43,0.75672,0.13717,004.01,0.61795,9,0.62183,11,0.87985,11,0.90723,12
mlp,50,1,auto,fedavg,False,0,0 1 2 3,15,46,0.75672,0.13717,003.78,0.61795,10,0.62183,12,0.87985,12,0.90723,12
mlp,50,1,auto,fedavg,False,0,0 1 2 3,16,49,0.75672,0.13717,003.73,0.61795,11,0.62183,13,0.87985,13,0.90723,12
mlp,50,1,auto,fedavg,False,0,0 1 2 3,17,52,0.75672,0.13717,003.80,0.61795,12,0.62183,14,0.87985,14,0.90723,12
mlp,50,1,auto,fedavg,False,0,0 1 2 3,18,55,0.75672,0.13717,003.65,0.61795,13,0.62183,14,0.87985,15,0.90723,13
mlp,50,1,auto,fedavg,False,0,0 1 2 3,19,58,0.75672,0.13717,003.57,0.61795,14,0.62183,15,0.87985,15,0.90723,14
mlp,50,1,auto,fedavg,False,0,0 1 2 3,20,61,0.75672,0.13717,003.60,0.61795,15,0.62183,16,0.87985,15,0.90723,15
mlp,50,1,auto,fedavg,False,0,0 1 2 3,21,64,0.75672,0.13717,003.32,0.61795,16,0.62183,17,0.87985,15,0.90723,16
