Model,Round,AvgF1,client-1(f1),client-1(loss),client-2(f1),client-2(loss),client-3(f1),client-3(loss),client-4(f1),client-4(loss)
*mlp,1,0.38604,0.63207,0.19526,0.01288,0.51243,0.01364,0.27551,0.88559,0.17397
*mlp,2,0.44277,0.83555,0.16394,0.02042,0.53858,0.00456,0.27551,0.91054,0.43815
*mlp,3,0.75672,0.61795,0.16394,0.62183,0.58753,0.87985,0.18707,0.90723,0.65176
mlp,4,0.71518,0.61000,0.16394,0.63602,0.65995,0.69791,0.17370,0.91678,0.32731
mlp,5,0.45986,0.82020,0.12673,0.05659,0.65995,0.03184,0.16792,0.93081,0.18890
mlp,6,0.54998,0.97835,0.10464,0.26197,0.60562,0.02819,0.16792,0.93141,0.27105
mlp,7,0.54714,0.63687,0.15329,0.63134,0.58535,0.03288,0.16089,0.88747,0.27105
mlp,8,0.66880,0.92178,0.10317,0.87343,0.59510,0.02836,0.16089,0.85161,0.21895
mlp,9,0.66997,0.79230,0.12819,0.63608,0.75679,0.37078,0.15687,0.88071,0.21895
mlp,10,0.44669,0.83051,0.12611,0.02422,0.75679,0.02999,0.14498,0.90203,0.11340
mlp,11,0.53951,0.38694,0.12611,0.25232,0.42651,0.62044,0.13767,0.89835,0.10286
mlp,12,0.60681,0.32524,0.12611,0.63331,0.44857,0.56898,0.13087,0.89969,0.10159
mlp,13,0.60415,0.32026,0.12611,0.63126,0.35550,0.56748,0.12855,0.89759,0.10607
mlp,14,0.49030,0.76527,0.21890,0.24234,0.35550,0.04448,0.14609,0.90912,0.09826
mlp,15,0.61429,0.54886,0.13365,0.63010,0.41605,0.38504,0.13535,0.89315,0.09826
mlp,16,0.64108,0.61505,0.15444,0.63411,0.38333,0.43112,0.13022,0.88405,0.09826
mlp,17,0.66813,0.81180,0.14916,0.64114,0.59969,0.34668,0.12868,0.87289,0.09826
mlp,18,0.40235,0.63406,0.13616,0.05366,0.59969,0.03587,0.12912,0.88582,0.10647
mlp,19,0.57986,0.86185,0.18229,0.61730,0.63007,0.02741,0.12912,0.81289,0.09870
mlp,20,0.58893,0.90095,0.09128,0.58007,0.29846,0.02859,0.12912,0.84611,0.10517
mlp,21,0.49480,0.97182,0.17564,0.07744,0.31035,0.03019,0.12912,0.89975,0.09422
mlp,22,0.45282,0.83387,0.15265,0.02942,0.31035,0.03762,0.13411,0.91039,0.09329
mlp,23,0.45516,0.83341,0.09765,0.02734,0.31035,0.05228,0.13240,0.90762,0.09198
mlp,24,0.65031,0.63151,0.20562,0.63424,0.62758,0.44208,0.13338,0.89341,0.09198
mlp,25,0.65593,0.97411,0.10393,0.64133,0.80872,0.10167,0.13338,0.90661,0.09852
mlp,26,0.52141,0.83334,0.28873,0.24478,0.80872,0.09600,0.11617,0.91152,0.09524
mlp,27,0.60102,0.83321,0.24461,0.62976,0.24589,0.03901,0.11617,0.90208,0.09346
mlp,28,0.52283,0.83217,0.20630,0.24194,0.24589,0.07064,0.11700,0.94658,0.09261
mlp,29,0.69529,0.82735,0.16362,0.62946,0.45409,0.43602,0.11225,0.88835,0.09261
mlp,30,0.62260,0.76032,0.05912,0.58578,0.51428,0.35003,0.10924,0.79427,0.09261
mlp,31,0.51300,0.83248,0.05739,0.02911,0.51428,0.31347,0.12044,0.87694,0.09134
mlp,32,0.67868,0.60615,0.05739,0.63465,0.42322,0.58754,0.11640,0.88636,0.09514
mlp,33,0.68221,0.60523,0.05739,0.63138,0.94467,0.58491,0.11414,0.90731,0.09288
mlp,34,0.72633,0.81090,0.08957,0.64693,0.42270,0.57744,0.11287,0.87005,0.09288
mlp,35,0.72809,0.82476,0.07816,0.64572,0.31945,0.57746,0.11028,0.86443,0.09288
mlp,36,0.68139,0.65221,0.07456,0.64698,0.29180,0.58085,0.11025,0.84554,0.09288
mlp,37,0.48577,0.70854,0.08215,0.02750,0.29180,0.34965,0.11048,0.85739,0.08859
mlp,38,0.68784,0.72363,0.06205,0.63545,0.74568,0.54066,0.10680,0.85162,0.08859
