Model,BatchSize,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),client-1(f1),client-1(rounds),client-2(f1),client-2(rounds),client-3(f1),client-3(rounds),client-4(f1),client-4(rounds)
mlp,auto,auto,auto,flad,False,0,0 1 2 3,1,4,0.16789,0.28509,002.70,0.00384,1,0.00606,1,0.00000,1,0.66167,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,2,7,0.70396,0.18662,001.97,0.45134,2,0.61182,2,0.93787,2,0.81483,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,3,9,0.73660,0.04830,001.28,0.65521,3,0.77895,3,0.76479,2,0.74746,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,4,10,0.74186,0.11742,002.92,0.84613,4,0.80938,3,0.54423,2,0.76769,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,5,11,0.74186,0.11742,001.97,0.84613,4,0.80938,3,0.54423,3,0.76769,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,6,13,0.74186,0.11742,001.26,0.84613,5,0.80938,4,0.54423,3,0.76769,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,7,15,0.74521,0.15712,000.45,0.56089,6,0.62199,4,0.93284,4,0.86513,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,8,17,0.76855,0.05921,001.20,0.83183,7,0.79606,5,0.67246,4,0.77384,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,9,18,0.76855,0.05921,001.84,0.83183,7,0.79606,5,0.67246,5,0.77384,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,10,20,0.76855,0.05921,001.34,0.83183,8,0.79606,6,0.67246,5,0.77384,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,11,21,0.78613,0.06443,002.80,0.86300,9,0.81170,6,0.68594,5,0.78387,1
mlp,auto,auto,auto,flad,False,0,0 1 2 3,12,23,0.78613,0.06443,000.41,0.86300,9,0.81170,6,0.68594,6,0.78387,2
mlp,auto,auto,auto,flad,False,0,0 1 2 3,13,25,0.78613,0.06443,002.01,0.86300,10,0.81170,7,0.68594,6,0.78387,2
mlp,auto,auto,auto,flad,False,0,0 1 2 3,14,27,0.78613,0.06443,001.66,0.86300,10,0.81170,8,0.68594,7,0.78387,2
mlp,auto,auto,auto,flad,False,0,0 1 2 3,15,29,0.78613,0.06443,002.89,0.86300,11,0.81170,9,0.68594,7,0.78387,2
