Model,Round,AvgF1,client-1(f1),client-1(loss),client-2(f1),client-2(loss),client-3(f1),client-3(loss),client-4(f1),client-4(loss)
*mlp,1,0.16789,0.00384,0.27462,0.00606,0.34766,0.00000,0.11588,0.66167,0.17100
*mlp,2,0.70396,0.45134,0.28248,0.61182,0.81569,0.93787,0.10965,0.81483,0.17100
*mlp,3,0.73660,0.65521,0.25222,0.77895,1.15891,0.76479,0.10965,0.74746,0.17100
*mlp,4,0.74186,0.84613,0.26878,0.80938,1.15891,0.54423,0.10965,0.76769,0.17100
mlp,5,0.71096,0.47094,0.26878,0.62440,1.15891,0.92512,0.11313,0.82339,0.17100
mlp,6,0.72934,0.69653,0.22041,0.79851,0.82196,0.65564,0.11313,0.76670,0.17100
*mlp,7,0.74521,0.56089,0.47140,0.62199,0.82196,0.93284,0.11746,0.86513,0.17100
*mlp,8,0.76855,0.83183,0.21812,0.79606,0.81818,0.67246,0.11746,0.77384,0.17100
mlp,9,0.70412,0.43160,0.21812,0.62325,0.81818,0.94235,0.10048,0.81929,0.17100
mlp,10,0.75512,0.66719,0.18306,0.78739,0.96051,0.80507,0.10048,0.76081,0.17100
*mlp,11,0.78613,0.86300,0.14631,0.81170,0.96051,0.68594,0.10048,0.78387,0.17100
mlp,12,0.59475,0.57204,0.14631,0.04440,0.96051,0.88997,0.10853,0.87260,0.23212
mlp,13,0.56205,0.65476,0.53003,0.21884,0.32335,0.53876,0.10853,0.83582,0.23212
mlp,14,0.33646,0.04431,0.53003,0.21628,0.31406,0.34694,0.75001,0.73830,0.23212
mlp,15,0.63645,0.63771,0.12630,0.90957,0.67331,0.20919,0.75001,0.78933,0.23212
mlp,16,0.67938,0.32910,0.12630,0.64646,0.67331,0.91667,0.09218,0.82531,0.23212
mlp,17,0.72272,0.58820,0.15904,0.80502,0.81739,0.75939,0.09218,0.73825,0.23212
mlp,18,0.62542,0.83807,0.10482,0.80787,0.81739,0.11142,0.09218,0.74430,0.23212
