Model,BatchSize,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),client-1(f1),client-1(rounds),client-2(f1),client-2(rounds),client-3(f1),client-3(rounds),client-4(f1),client-4(rounds)
mlp,100,10,auto,flddos,False,0,0 1 2 3,1,4,0.32059,0.33195,018.25,0.39902,1,0.04647,1,0.00592,1,0.83094,1
mlp,100,10,auto,flddos,False,0,0 1 2 3,2,7,0.39436,0.36480,018.00,0.61098,2,0.05642,2,0.02849,1,0.88153,2
mlp,100,10,auto,flddos,False,0,0 1 2 3,3,10,0.41859,0.36574,013.04,0.04974,2,0.06438,3,0.70222,2,0.85801,3
mlp,100,10,auto,flddos,False,0,0 1 2 3,4,13,0.52957,0.28429,013.14,0.08177,2,0.62545,4,0.54485,3,0.86620,4
mlp,100,10,auto,flddos,False,0,0 1 2 3,5,16,0.52957,0.28429,017.46,0.08177,3,0.62545,4,0.54485,4,0.86620,5
mlp,100,10,auto,flddos,False,0,0 1 2 3,6,19,0.52957,0.28429,018.55,0.08177,4,0.62545,5,0.54485,4,0.86620,6
mlp,100,10,auto,flddos,False,0,0 1 2 3,7,22,0.59491,0.18379,018.40,0.55117,5,0.63830,6,0.33883,5,0.85132,6
mlp,100,10,auto,flddos,False,0,0 1 2 3,8,25,0.59491,0.18379,019.99,0.55117,6,0.63830,7,0.33883,5,0.85132,7
mlp,100,10,auto,flddos,False,0,0 1 2 3,9,28,0.59491,0.18379,018.42,0.55117,7,0.63830,8,0.33883,6,0.85132,7
mlp,100,10,auto,flddos,False,0,0 1 2 3,10,31,0.59491,0.18379,019.87,0.55117,8,0.63830,8,0.33883,7,0.85132,8
mlp,100,10,auto,flddos,False,0,0 1 2 3,11,34,0.59491,0.18379,012.57,0.55117,8,0.63830,9,0.33883,8,0.85132,9
mlp,100,10,auto,flddos,False,0,0 1 2 3,12,37,0.59491,0.18379,013.01,0.55117,8,0.63830,10,0.33883,9,0.85132,10
mlp,100,10,auto,flddos,False,0,0 1 2 3,13,40,0.59491,0.18379,013.53,0.55117,8,0.63830,11,0.33883,10,0.85132,11
mlp,100,10,auto,flddos,False,0,0 1 2 3,14,43,0.59491,0.18379,018.72,0.55117,9,0.63830,11,0.33883,11,0.85132,12
mlp,100,10,auto,flddos,False,0,0 1 2 3,15,46,0.59491,0.18379,017.34,0.55117,10,0.63830,12,0.33883,12,0.85132,12
mlp,100,10,auto,flddos,False,0,0 1 2 3,16,49,0.59491,0.18379,019.63,0.55117,11,0.63830,13,0.33883,13,0.85132,12
mlp,100,10,auto,flddos,False,0,0 1 2 3,17,52,0.59491,0.18379,018.06,0.55117,12,0.63830,14,0.33883,14,0.85132,12
mlp,100,10,auto,flddos,False,0,0 1 2 3,18,55,0.59491,0.18379,018.21,0.55117,13,0.63830,14,0.33883,15,0.85132,13
mlp,100,10,auto,flddos,False,0,0 1 2 3,19,58,0.59491,0.18379,018.39,0.55117,14,0.63830,15,0.33883,15,0.85132,14
mlp,100,10,auto,flddos,False,0,0 1 2 3,20,61,0.59491,0.18379,017.95,0.55117,15,0.63830,16,0.33883,15,0.85132,15
mlp,100,10,auto,flddos,False,0,0 1 2 3,21,64,0.59491,0.18379,017.56,0.55117,16,0.63830,17,0.33883,15,0.85132,16
mlp,100,10,auto,flddos,False,0,0 1 2 3,22,67,0.69508,0.27570,017.38,0.97743,17,0.28799,17,0.59807,16,0.91684,17
mlp,100,10,auto,flddos,False,0,0 1 2 3,23,70,0.69508,0.27570,017.76,0.97743,18,0.28799,17,0.59807,17,0.91684,18
mlp,100,10,auto,flddos,False,0,0 1 2 3,24,73,0.71167,0.25577,017.97,0.94334,19,0.28098,18,0.77434,18,0.84801,18
mlp,100,10,auto,flddos,False,0,0 1 2 3,25,76,0.71167,0.25577,017.68,0.94334,20,0.28098,19,0.77434,18,0.84801,19
mlp,100,10,auto,flddos,False,0,0 1 2 3,26,79,0.71167,0.25577,017.16,0.94334,21,0.28098,19,0.77434,19,0.84801,20
mlp,100,10,auto,flddos,False,0,0 1 2 3,27,82,0.71167,0.25577,017.06,0.94334,22,0.28098,20,0.77434,19,0.84801,21
mlp,100,10,auto,flddos,False,0,0 1 2 3,28,85,0.71167,0.25577,017.73,0.94334,23,0.28098,20,0.77434,20,0.84801,22
mlp,100,10,auto,flddos,False,0,0 1 2 3,29,88,0.71167,0.25577,017.76,0.94334,24,0.28098,21,0.77434,21,0.84801,22
