Model,Round,AvgF1,client-1(f1),client-1(loss),client-2(f1),client-2(loss),client-3(f1),client-3(loss),client-4(f1),client-4(loss)
*mlp,1,0.32059,0.39902,0.17899,0.04647,0.30688,0.00592,0.15195,0.83094,0.10935
*mlp,2,0.39436,0.61098,0.05414,0.05642,0.23563,0.02849,0.15195,0.88153,0.10266
*mlp,3,0.41859,0.04974,0.05414,0.06438,0.24868,0.70222,0.11466,0.85801,0.09299
*mlp,4,0.52957,0.08177,0.05414,0.62545,0.19264,0.54485,0.10857,0.86620,0.08496
mlp,5,0.44733,0.38797,0.04500,0.01798,0.19264,0.53386,0.10174,0.84951,0.08463
mlp,6,0.36876,0.62539,0.09890,0.02331,0.37058,0.02733,0.10174,0.79899,0.08020
*mlp,7,0.59491,0.55117,0.03865,0.63830,0.14459,0.33883,0.09029,0.85132,0.08020
mlp,8,0.32631,0.39676,0.03645,0.02599,0.11890,0.02733,0.09029,0.85514,0.07908
mlp,9,0.51422,0.52837,0.21185,0.62171,0.33777,0.05236,0.09907,0.85443,0.07908
mlp,10,0.39379,0.40196,0.03582,0.22130,0.33777,0.09656,0.09761,0.85533,0.08424
mlp,11,0.36683,0.34459,0.03582,0.22908,0.10391,0.03765,0.09421,0.85601,0.08139
mlp,12,0.48943,0.05024,0.03582,0.63370,0.39407,0.40219,0.06781,0.87157,0.07401
mlp,13,0.43441,0.04985,0.03582,0.25814,0.18681,0.56391,0.06179,0.86574,0.07837
mlp,14,0.59167,0.64681,0.03331,0.24140,0.18681,0.58658,0.05829,0.89190,0.07220
mlp,15,0.47419,0.13956,0.03230,0.26820,0.10496,0.65811,0.05901,0.83088,0.07220
mlp,16,0.55196,0.50046,0.03132,0.27781,0.09183,0.60542,0.05513,0.82414,0.07220
mlp,17,0.45058,0.44630,0.04798,0.27430,0.10936,0.34137,0.05640,0.74034,0.07220
mlp,18,0.54839,0.64637,0.03082,0.22594,0.10936,0.54810,0.05186,0.77316,0.08202
mlp,19,0.54519,0.97930,0.03200,0.28152,0.45966,0.03021,0.05186,0.88975,0.06593
mlp,20,0.46789,0.97997,0.03968,0.10055,0.11973,0.02877,0.05186,0.76227,0.06468
mlp,21,0.33942,0.84768,0.02879,0.04565,0.40904,0.02584,0.05186,0.43851,0.06243
*mlp,22,0.69508,0.97743,0.03283,0.28799,0.40904,0.59807,0.05462,0.91684,0.06406
mlp,23,0.46466,0.57698,0.04544,0.05007,0.40904,0.35883,0.04988,0.87276,0.07233
*mlp,24,0.71167,0.94334,0.04818,0.28098,0.22198,0.77434,0.05881,0.84801,0.07233
mlp,25,0.49002,0.96291,0.02636,0.10517,0.33826,0.02985,0.05881,0.86214,0.06183
mlp,26,0.56849,0.80465,0.02312,0.02630,0.33826,0.54566,0.05191,0.89736,0.06733
mlp,27,0.54663,0.98989,0.02684,0.26512,0.32275,0.03170,0.05191,0.89982,0.06298
mlp,28,0.50874,0.83807,0.03392,0.02394,0.32275,0.27888,0.05056,0.89408,0.05791
mlp,29,0.51981,0.96737,0.02566,0.08073,0.10843,0.24357,0.04463,0.78756,0.05791
mlp,30,0.62940,0.83090,0.02378,0.10987,0.32347,0.77170,0.03895,0.80511,0.05791
mlp,31,0.62477,0.81368,0.02810,0.07743,0.32347,0.77546,0.03670,0.83252,0.05813
mlp,32,0.65379,0.77025,0.02810,0.24629,0.31990,0.75642,0.04015,0.84220,0.05729
mlp,33,0.63133,0.92755,0.02810,0.29457,0.10525,0.45782,0.03793,0.84539,0.05844
*mlp,34,0.71836,0.93974,0.02141,0.26856,0.12513,0.82284,0.03492,0.84231,0.05844
*mlp,35,0.77844,0.71306,0.03559,0.63528,0.07460,0.92193,0.03674,0.84350,0.05844
mlp,36,0.67597,0.47021,0.02125,0.54228,0.11305,0.86449,0.04582,0.82688,0.05844
mlp,37,0.69437,0.98745,0.02561,0.07647,0.11305,0.84816,0.03777,0.86538,0.05976
mlp,38,0.71166,0.88753,0.11328,0.28895,0.13632,0.83088,0.03650,0.83930,0.05976
mlp,39,0.74996,0.98713,0.03426,0.26097,0.13632,0.87505,0.03725,0.87668,0.05466
mlp,40,0.68935,0.89206,0.02427,0.10983,0.09632,0.89295,0.03468,0.86258,0.05466
mlp,41,0.69744,0.97870,0.03373,0.07708,0.09632,0.86269,0.03709,0.87130,0.05422
mlp,42,0.64149,0.84535,0.01890,0.02729,0.09632,0.80351,0.03519,0.88982,0.05415
mlp,43,0.45567,0.83736,0.02180,0.05220,0.07927,0.05834,0.03519,0.87479,0.05331
